"filename", "language", "Markdown", "Go Checksum File", "Go", "Protocol Buffers", "Go Module File", "JSON", "comment", "blank", "total"
"/home/aping/code/mpc/mpc-tss/crypto/encproof/proof_test.go", "Go", 0, 0, 42, 0, 0, 0, 2, 8, 52
"/home/aping/code/mpc/mpc-tss/crypto/facproof/fac_msg.pb.go", "Go", 0, 0, 207, 0, 0, 0, 8, 29, 244
"/home/aping/code/mpc/mpc-tss/crypto/facproof/fac_msg.proto", "Protocol Buffers", 0, 0, 0, 17, 0, 0, 0, 4, 21
"/home/aping/code/mpc/mpc-tss/crypto/facproof/proof.go", "Go", 0, 0, 153, 0, 0, 0, 16, 13, 182
"/home/aping/code/mpc/mpc-tss/crypto/facproof/proof_test.go", "Go", 0, 0, 37, 0, 0, 0, 2, 8, 47
"/home/aping/code/mpc/mpc-tss/crypto/logproof/log_msg.pb.go", "Go", 0, 0, 182, 0, 0, 0, 8, 26, 216
"/home/aping/code/mpc/mpc-tss/crypto/logproof/log_msg.proto", "Protocol Buffers", 0, 0, 0, 14, 0, 0, 0, 4, 18
"/home/aping/code/mpc/mpc-tss/crypto/logproof/proof.go", "Go", 0, 0, 177, 0, 0, 0, 21, 19, 217
"/home/aping/code/mpc/mpc-tss/crypto/logproof/proof_test.go", "Go", 0, 0, 113, 0, 0, 0, 2, 21, 136
"/home/aping/code/mpc/mpc-tss/crypto/modproof/mod_msg.pb.go", "Go", 0, 0, 158, 0, 0, 0, 8, 23, 189
"/home/aping/code/mpc/mpc-tss/crypto/modproof/mod_msg.proto", "Protocol Buffers", 0, 0, 0, 11, 0, 0, 0, 4, 15
"/home/aping/code/mpc/mpc-tss/crypto/modproof/proof.go", "Go", 0, 0, 228, 0, 0, 0, 30, 34, 292
"/home/aping/code/mpc/mpc-tss/crypto/modproof/proof_test.go", "Go", 0, 0, 21, 0, 0, 0, 15, 7, 43
"/home/aping/code/mpc/mpc-tss/crypto/paillier/paillier.go", "Go", 0, 0, 249, 0, 0, 0, 39, 37, 325
"/home/aping/code/mpc/mpc-tss/crypto/paillier/paillier_test.go", "Go", 0, 0, 120, 0, 0, 0, 8, 30, 158
"/home/aping/code/mpc/mpc-tss/crypto/prmproof/prm_msg.pb.go", "Go", 0, 0, 158, 0, 0, 0, 8, 23, 189
"/home/aping/code/mpc/mpc-tss/crypto/prmproof/prm_msg.proto", "Protocol Buffers", 0, 0, 0, 11, 0, 0, 0, 4, 15
"/home/aping/code/mpc/mpc-tss/crypto/prmproof/proof.go", "Go", 0, 0, 109, 0, 0, 0, 24, 19, 152
"/home/aping/code/mpc/mpc-tss/crypto/prmproof/proof_test.go", "Go", 0, 0, 25, 0, 0, 0, 0, 8, 33
"/home/aping/code/mpc/mpc-tss/crypto/schnorr/schnorr_proof.go", "Go", 0, 0, 126, 0, 0, 0, 8, 24, 158
"/home/aping/code/mpc/mpc-tss/crypto/schnorr/schnorr_proof_test.go", "Go", 0, 0, 78, 0, 0, 0, 5, 23, 106
"/home/aping/code/mpc/mpc-tss/crypto/vss/feldman_vss.go", "Go", 0, 0, 133, 0, 0, 0, 19, 25, 177
"/home/aping/code/mpc/mpc-tss/crypto/vss/feldman_vss_test.go", "Go", 0, 0, 83, 0, 0, 0, 7, 28, 118
"/home/aping/code/mpc/mpc-tss/go.mod", "Go Module File", 0, 0, 0, 0, 42, 0, 0, 7, 49
"/home/aping/code/mpc/mpc-tss/go.sum", "Go Checksum File", 0, 223, 0, 0, 0, 0, 0, 1, 224
"/home/aping/code/mpc/mpc-tss/protob/message.proto", "Protocol Buffers", 0, 0, 0, 35, 0, 0, 0, 8, 43
"/home/aping/code/mpc/mpc-tss/protob/signature.proto", "Protocol Buffers", 0, 0, 0, 20, 0, 0, 0, 7, 27
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/auxiliary/README.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 2, 4
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/auxiliary/auxiliary.pb.go", "Go", 0, 0, 295, 0, 0, 0, 13, 42, 350
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/auxiliary/auxiliary.proto", "Protocol Buffers", 0, 0, 0, 30, 0, 0, 0, 5, 35
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/auxiliary/local_party.go", "Go", 0, 0, 129, 0, 0, 0, 12, 28, 169
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/auxiliary/local_party_test.go", "Go", 0, 0, 156, 0, 0, 0, 11, 34, 201
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/auxiliary/messages.go", "Go", 0, 0, 133, 0, 0, 0, 6, 21, 160
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/auxiliary/prepare.go", "Go", 0, 0, 74, 0, 0, 0, 19, 17, 110
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/auxiliary/round_1.go", "Go", 0, 0, 115, 0, 0, 0, 5, 19, 139
